Company name,Website,City / Location,Segment,What they make,Revenue band (estimate),Decision-maker,E1: Producer,E2: Accessible,C3: Differentiated,C4: Decision-Maker Quality,C5: Growing Sector,C6: Growth Signals,C7: Systems Maturity,C8: Leadership Succession,Overall Federer Score,Overall verdict,Personalization hook
Troikaa Pharmaceuticals,troikaa.com,Ahmedabad,Basket B - Complex APIs,Novel drug delivery systems (NDDS) and specialized injectables,Rs.300-500Cr,Ketan Patel (MD),PASS - Owns dedicated API and formulation plants.,PASS - Ahmedabad HQ.,Strong (20),Strong (15),Strong (15),Strong (15),Strong (20),Strong (15),100 - A Band,Strong Fit,Outstanding work pioneering Novel Drug Delivery Systems (NDDS) via your internal R&D infrastructure.
Hester Biosciences,hester.in,Ahmedabad,Basket B - Animal Health,Veterinary vaccines and poultry health biologics,Rs.100-300Cr,Rajiv Gandhi (CEO),PASS - Operates specialized veterinary biological plants.,PASS - Ahmedabad HQ.,Strong (20),Strong (15),Strong (15),Strong (15),Strong (20),Strong (15),100 - A Band,Strong Fit,Impressive scale-up of your poultry and large-animal vaccine manufacturing capacities.
Dynemic Products,dynemic.com,Ahmedabad,Basket A - Specialty Chem,Synthetic food colors and specialized dye intermediates,Rs.100-300Cr,B. Dash (MD),PASS - Runs heavy chemical synthesis facilities.,PASS - Ahmedabad HQ.,Strong (20),Strong (15),Strong (15),Moderate (8),Strong (20),Strong (15),93 - A Band,Strong Fit,Strategic expansion of your zero-liquid-discharge (ZLD) food color synthesis plants.
AksharChem India,aksharchemindia.com,Ahmedabad,Basket A - Specialty Chem,Vinyl Sulphone and specialty pigment intermediates,Rs.300-500Cr,M. Jaykrishna (MD),PASS - Manufactures complex pigments in-house.,PASS - Ahmedabad HQ.,Strong (20),Strong (15),Strong (15),Moderate (8),Strong (20),Moderate (8),86 - A Band,Strong Fit,Maintaining global leadership in Vinyl Sulphone production through rigorous chemical processes.
Ami Lifesciences,amilifesciences.com,Ahmedabad,Basket B - Complex APIs,Advanced pharmaceutical intermediates and APIs,Rs.300-500Cr,Girish Chovatia (MD),PASS - In-house chemical synthesis reactors.,PASS - Ahmedabad HQ.,Strong (20),Strong (15),Strong (15),Strong (15),Strong (20),Moderate (8),93 - A Band,Strong Fit,Excellent execution in securing regulatory approvals for your complex API synthesis lines.
SLTL Group,sltl.com,Ahmedabad,Basket C - Precision Engineering,High-power industrial laser cutting and welding systems,Rs.100-300Cr,Dr. Arvind Patel (MD),PASS - Assembles high-end laser machinery in-house.,PASS - Ahmedabad HQ.,Strong (20),Strong (15),Strong (15),Strong (15),Strong (20),Strong (15),100 - A Band,Strong Fit,Pioneering the development of indigenous fiber laser cutting systems in India.
Amol Dicalite,amoldicalite.com,Ahmedabad,Basket A - Specialty Chem,Perlite filter aids and specialized thermal insulation,Rs.100-300Cr,S. Sheth (Director),PASS - Operates mineral expansion and chemical processing plants.,PASS - Ahmedabad HQ.,Strong (20),Strong (15),Moderate (8),Moderate (8),Strong (20),Moderate (8),79 - B Band,Fit,Highly specialized niche in processing expanded Perlite for industrial filtration.
Macpower CNC,macpowercnc.com,Ahmedabad/Rajkot,Basket C - Precision Engineering,CNC turning centers and vertical machining centers,Rs.100-300Cr,Rupesh Mehta (MD),PASS - Owns full machine-tool assembly infrastructure.,PASS - Gujarat operations.,Strong (20),Strong (15),Strong (15),Strong (15),Strong (20),Moderate (8),93 - A Band,Strong Fit,Scaling localized CNC machine tool assembly to support the domestic defense and aerospace sectors.
Gujarat Organics,gujaratorganics.com,Ahmedabad,Basket A - Specialty Chem,Specialty preservatives and pharma intermediates,Rs.100-300Cr,A. Dani (Director),PASS - Chemical manufacturing and blending facilities.,PASS - Ahmedabad HQ.,Moderate (10),Strong (15),Strong (15),Moderate (8),Strong (20),Strong (15),83 - A Band,Strong Fit,Structured approach to synthesizing high-purity preservatives for global pharma supply chains.
Asahi Songwon,asahisongwon.com,Ahmedabad,Basket A - Specialty Chem,CPC Blue crude and specialized pigment formulations,Rs.300-500Cr,Gokul Jaykrishna (CEO),PASS - Operates large-scale pigment synthesis plants.,PASS - Ahmedabad HQ.,Strong (20),Strong (15),Strong (15),Moderate (8),Strong (20),Moderate (8),86 - A Band,Strong Fit,Outstanding technical execution in CPC Blue crude synthesis and environmental compliance.
Coreline Precision,coreline.in,Ahmedabad,Basket B - Medical Devices,Orthopedic implants and titanium bone screws,Rs.30-100Cr,M. Patel (MD),PASS - Precision multi-axis CNC machining of implants.,PASS - Ahmedabad HQ.,Strong (20),Strong (15),Strong (15),Strong (15),Strong (20),Moderate (8),93 - A Band,Strong Fit,Navigating strict ISO 13485 compliance while machining precision titanium orthopedic implants.
Shree Hari Chemicals,shreeharichemicals.in,Ahmedabad,Basket A - Specialty Chem,H-Acid and dye intermediates,Rs.50-100Cr,B. Agarwal (Director),PASS - Chemical reaction and filtration plants.,PASS - Ahmedabad HQ.,Moderate (10),Moderate (8),Strong (15),Moderate (8),Strong (20),Moderate (8),69 - B Band,Fit,Consistent production of H-Acid intermediates supporting the regional textile dyeing ecosystem.
Varenyam Biologics,varenyam.com,Ahmedabad,Basket A - Specialty Biotech,Industrial enzymes and fermentation products,Rs.30-100Cr,Dr. S. Shah (Founder),PASS - Operates specialized biological fermentation bioreactors.,PASS - Ahmedabad HQ.,Strong (20),Strong (15),Strong (15),Moderate (8),Moderate (10),Moderate (8),76 - B Band,Fit,Leveraging specialized fermentation tech to develop high-yield industrial enzymes.
Astron Zircon,astronzircon.com,Ahmedabad,Basket A - Specialty Chem,Zirconium chemicals and rare earth derivatives,Rs.50-100Cr,P. Patel (MD),PASS - Mineral processing and chemical extraction facility.,PASS - Ahmedabad HQ.,Strong (20),Strong (15),Moderate (8),Moderate (8),Moderate (10),Moderate (8),69 - B Band,Fit,Highly differentiated extraction processes for producing advanced Zirconium derivatives.
Bhagwati Autocast,bhagwatiautocast.com,Ahmedabad,Basket C - Precision Engineering,High-duty grey iron and ductile iron castings,Rs.100-300Cr,Dr. P. Bhagwati (MD),PASS - Operates automated foundry and pouring lines.,PASS - Ahmedabad HQ.,Moderate (10),Strong (15),Strong (15),Moderate (8),Strong (20),Strong (15),83 - A Band,Strong Fit,Excellent structural management of your high-pressure molding lines for complex auto castings.
Zeus Engitech,zeusengitech.com,Ahmedabad,Basket C - Precision Engineering,Bulk material handling automation and specialized conveyors,Rs.30-100Cr,S. Kothari (Director),PASS - Assembly and mechanical fabrication plant.,PASS - Ahmedabad HQ.,Moderate (10),Moderate (8),Strong (15),Moderate (8),Strong (20),Moderate (8),69 - B Band,Fit,Engineering specialized bulk material handling solutions for complex industrial layouts.
Siddhi Engineers,siddhiengineers.com,Ahmedabad,Basket C - Precision Engineering,Cold-drawn seamless aluminum and brass tubes,Rs.30-100Cr,R. Patel (MD),PASS - Specialized cold-drawing and extrusion lines.,PASS - Ahmedabad HQ.,Moderate (10),Moderate (8),Strong (15),Moderate (8),Moderate (10),Moderate (8),59 - C Band,Borderline,Maintaining tight geometric tolerances across your cold-drawn seamless tubing lines.
Asence Pharma,asence.com,Ahmedabad,Basket B - Complex APIs,Regulated generic APIs and sterile formulations,Rs.50-100Cr,M. Sarabhai (Director),PASS - Operates sterile formulation and API plants.,PASS - Ahmedabad HQ.,Strong (20),Strong (15),Strong (15),Moderate (8),Strong (20),Moderate (8),86 - A Band,Strong Fit,Rigorous execution of quality audits across your sterile formulation and API pipelines.
Shreeji Pharma,shreejipharma.com,Ahmedabad,Basket B - Complex APIs,Active pharma ingredients and excipients,Rs.30-100Cr,V. Thakkar (MD),PASS - Batch reactor lines for chemical synthesis.,PASS - Ahmedabad HQ.,Moderate (10),Moderate (8),Strong (15),Moderate (8),Moderate (10),Moderate (8),59 - C Band,Borderline,Consistent process controls during the batch synthesis of complex pharmaceutical excipients.
Loxim Industries,loxim.com,Ahmedabad,Basket A - Specialty Chem,Engineering plastics and specialty dyes,Rs.50-100Cr,D. Mehta (Director),PASS - Polymer compounding and dye synthesis infrastructure.,PASS - Ahmedabad HQ.,Strong (20),Moderate (8),Strong (15),Moderate (8),Strong (20),Moderate (8),79 - B Band,Fit,Differentiated compounding capabilities for highly specialized engineering plastics.
Concorde Corrugations,concorde.in,Ahmedabad,Basket C - Precision Engineering,Specialized industrial packaging machinery,Rs.30-100Cr,A. Shah (Partner),PASS - Machinery fabrication and assembly lines.,PASS - Ahmedabad HQ.,Moderate (10),Moderate (8),Moderate (8),Moderate (8),Moderate (10),Weak (0),44 - C Band,Borderline,Solid engineering footprint in manufacturing heavy-duty industrial corrugation lines.
Span Diagnostics,span.co.in,Surat/Ahmedabad,Basket B - Medical Devices,In-vitro diagnostic (IVD) kits and reagents,Rs.50-100Cr,V. Desai (MD),PASS - Controlled cleanrooms for reagent formulation.,PASS - Gujarat operations.,Strong (20),Strong (15),Strong (15),Moderate (8),Strong (20),Moderate (8),86 - A Band,Strong Fit,Maintaining rigorous environmental controls for the formulation of complex IVD diagnostic kits.
Ronson Industrial,ronson.com,Ahmedabad,Basket C - Precision Engineering,Specialized gearboxes and industrial drive systems,Rs.30-100Cr,K. Patel (Director),PASS - Gear cutting and heavy assembly shop.,PASS - Ahmedabad HQ.,Moderate (10),Moderate (8),Strong (15),Moderate (8),Moderate (10),Moderate (8),59 - C Band,Borderline,Specialized technical focus on building custom high-torque industrial drive systems.
Apex Formulations,apexform.com,Ahmedabad,Basket B - Complex APIs,Solid oral dosages and therapeutic pellets,Rs.50-100Cr,S. Shah (MD),PASS - Solid dosage formulation and encapsulation plant.,PASS - Ahmedabad HQ.,Moderate (10),Moderate (8),Strong (15),Moderate (8),Moderate (10),Moderate (8),59 - C Band,Borderline,Efficient management of formulation schedules for specialized therapeutic pellet systems.
